[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:30 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:31 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:31 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:31 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:24:39 - Thread-4] [Simulation.java:252] [INFO] - Simulation main loop started, system time: 1459751079385
[14:24:53 - Thread-4] [Simulation.java:311] [INFO] - Simulation main loop stopped, system time: 1459751093699	Duration: 14314 ms	Simulated time 436901 ms	Ratio 30.52263518233897
